"","data$description"
"1","Bei einem Besuch beim Friseur in Mannheim wurde ich diskriminiert, als der Friseur sich weigerte, mich wegen meiner Religion zu bedienen. Trotz meiner Versuche, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich aus dem Salon ausgeschlossen."
"2","Beim Einkaufen in Chemnitz wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"3","Bei einem Abendessen im Restaurant in Leipzig wurde ich diskriminiert, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Restaurantpolitik, und baten mich, das Lokal zu verlassen."
"4","Bei der Bewerbung um ein Austauschprogramm in Essen wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Programm ausgeschlossen."
"5","Bei einem Zoobesuch in Trier wurde ich Opfer von Diskriminierung, als Sicherheitskräfte mir den Zugang wegen meines Hijabs verwehrten. Sie behaupteten, meine Kleidung sei unangemessen, und baten mich, das Gelände zu verlassen."
"6","Bei der Bewerbung um einen Studienplatz in Dortmund wurde ich diskriminiert, als die Universität sich weigerte, mich wegen meines muslimischen Glaubens auszuwählen. Trotz meiner guten Noten und Empfehlungen wurde ich aus dem Auswahlprozess ausgeschlossen."
"7","Bei einem Treffen mit Freunden in Köln wurde ich diskriminiert, als einige Gäste beleidigende Bemerkungen über meine Religion machten. Trotz meiner Versuche, meinen Glauben zu erklären und zu verteidigen, wurde ich aus der Gruppe ausgeschlossen."
"8","Beim Besuch einer Ausstellung in Freiburg wurde ich Opfer von Diskriminierung, als die Organisatoren mir den Zugang wegen meines muslimischen Glaubens verwehrten. Trotz meiner Bemühungen, meine Anwesenheit zu erklären und zu rechtfertigen, wurde ich von der Ausstellung ausgeschlossen."
"9","Bei einem Zahnarztbesuch in Lübeck wurde ich Opfer von Diskriminierung, als der Zahnarzt sich weigerte, mich wegen meiner Religion zu behandeln. Trotz meiner Zahnbeschwerden war ich gezwungen, einen anderen Gesundheitsfachmann aufzusuchen, um eine Behandlung zu erhalten."
"10","Beim Besuch eines Cafés in Nürnberg wurde ich Opfer von Diskriminierung, als das Personal mir den Service wegen meines Hijabs verweigerte. Sie behaupteten, meine Kleidung verstoße gegen ihre Sicherheitsrichtlinien, und baten mich, das Lokal zu verlassen."
